city,公司简称,公司全称,所属行业,工作地点,职位特点,薪资,经验,职位名称,firstType,secondType,职位标签,positionId,createTime
上海,英语流利说,上海流利说信息技术有限公司,"移动互联网,教育",杨浦区,"N+1奖金,硅谷系,私厨三餐,顶尖团队",15k-30k,不限,数据分析师,开发/测试/运维类,数据开发,"['高级', '大数据', '数据挖掘', 'R']",3473754,2017-09-16 16:28:45
上海,爱可生,上海爱可生信息技术股份有限公司,数据服务,徐汇区,"新三板,13薪,餐补,旅游",15k-30k,3-5年,大数据分析师,开发/测试/运维类,数据开发,"['电商', '数据挖掘']",3470095,2017-09-15 17:26:09
上海,口袋理财,上海鱼耀金融信息服务有限公司,"金融,移动互联网",长宁区,"五险一金,年终双薪",15k-25k,3-5年,数据分析,产品/需求/项目类,数据分析,"['金融', '支付', '可视化', '风控', '量化']",3347946,2017-09-15 18:01:55
上海,华院数据,华院数据技术（上海）有限公司,"企业服务,数据服务",杨浦区,发展空间大；五险一金；定期体检；各类补助,15k-25k,3-5年,大数据分析师,综合职能类,人力资源,['讲师'],2708205,2017-09-15 15:19:22
上海,帜讯信息,上海帜讯信息技术股份有限公司,"移动互联网,其他",浦东新区,每年加薪/补充公积金/体检/探亲假/交通,15k-24k,3-5年,数据分析师,开发/测试/运维类,数据开发,[],3468121,2017-09-15 10:03:21
上海,名片全能王,上海合合信息科技发展有限公司,移动互联网,杨浦区,"技术型公司,牛B的团队,良好的福利,弹性工作",15k-30k,3-5年,数据分析师,开发/测试/运维类,数据开发,"['算法', '数据挖掘', '机器学习', '大数据']",2723741,2017-09-15 16:26:58
上海,平安金服,深圳平安综合金融服务有限公司,"金融,数据服务",浦东新区,"大平台,绩效奖金,班车,体检",15k-20k,3-5年,数据分析岗,产品/需求/项目类,数据分析,"['业务运营', 'SQL', 'CRM', '系统分析']",3515677,2017-09-14 15:35:47
上海,瑞数信息,瑞数信息技术(上海)有限公司,信息安全,徐汇区,"股票期权,年终奖,尖端技术,行业前景",15k-25k,3-5年,数据分析师－上海,市场/商务/销售类,销售,"['信息安全', '销售', '数据挖掘', 'SPSS']",3480208,2017-09-15 13:46:57
上海,平安普惠,平安普惠企业管理有限公司,"金融,移动互联网",徐汇区,"薪资丰厚,福利齐全,发展空间大",15k-25k,不限,数据分析岗（上海）,产品/需求/项目类,数据分析,"['SPSS', 'sas']",3310240,2017-09-15 10:35:17
上海,链家上海研发中心,德佑房地产经纪有限公司,企业服务,静安区,"业内最专业,数据可视化,决策支持",12k-20k,3-5年,数据分析师,产品/需求/项目类,管理岗,"['资深', '高级', '专员']",2685435,2017-09-15 18:49:46
上海,个推,浙江每日互动网络科技股份有限公司,移动互联网,静安区,带薪年假 五险一金 生日Party 餐补,15k-25k,1-3年,数据分析师,设计,用户研究,['企业服务'],2551555,2017-09-14 10:40:14
上海,挖财,杭州财米科技有限公司,"移动互联网,金融",浦东新区,"期权激励,带薪年假,弹性工作,年底多薪",12k-24k,1-3年,高级数据分析师,市场与销售,市场/营销,"['电商', '大数据']",591162,2017-09-15 10:11:31
上海,内蒙古君正网贷,内蒙古君正互联网小额贷款有些公司,金融,浦东新区,"团队氛围好,发展空间大",15k-30k,3-5年,数据分析,开发/测试/运维类,数据开发,"['高级', '中级', '统计', 'SPSS', 'sas']",3560794,2017-09-07 13:49:43
