city,公司简称,公司全称,所属行业,工作地点,职位特点,薪资,经验,职位名称,firstType,secondType,职位标签,positionId,createTime
深圳,平安产险,中国平安财产保险股份有限公司,"移动互联网,金融",南山区,"500强,平台大,互联网氛围,开心工作",10k-20k,1-3年,数据分析,产品/需求/项目类,数据分析,数据管理,3509951,2017-09-15 11:15:51
深圳,众禄金融,深圳众禄金融控股股份有限公司,"移动互联网,金融",罗湖区,"新三板,金融公司,团队氛围",12k-24k,3-5年,数据分析师,产品/需求/项目类,数据分析,"大数据,BI,数据挖掘,SPSS,sas",3123157,2017-09-14 13:55:44
深圳,数位传媒,深圳数位传媒科技有限公司,"移动互联网,数据服务",南山区,"14薪起,大牛团队,股票期权,福利好",15k-25k,3-5年,数据分析师,开发/测试/运维类,数据开发,"金融,数据挖掘,SPSS,sas",3127906,2017-09-15 16:30:52
深圳,博乐科技,北京博乐科技有限公司,移动互联网,南山区,"项目奖金,发展空间大,项目利润高",15k-30k,3-5年,数据分析,开发/测试/运维类,数据开发,"游戏,数值",3287041,2017-09-13 17:48:46
深圳,试金石信用,试金石信用服务有限公司,"数据服务,移动互联网",南山区,行业前景好、大牛团队,15k-30k,3-5年,数据分析师,运营,运营,金融,2225601,2017-09-15 09:32:12
深圳,FORMAX金融圈,深圳福迈斯科技有限公司,"移动互联网,金融",南山区,发展好,12k-24k,1-3年,数据分析师,开发/测试/运维类,数据开发,"大数据,数据挖掘,SPSS,sas",3559617,2017-09-15 14:01:44
深圳,南方网通,深圳市南方网通网络技术开发有限公司,电子商务、广告营销,南山区,"五险一金,员工旅游,提供住宿",10k-20k,3-5年,数据分析师,开发/测试/运维类,数据开发,,3484599,2017-09-15 08:58:25
深圳,京东商城,北京京东世纪贸易有限公司,电子商务,宝安区,"数据分析,用户洞察",18k-30k,5-10年,数据分析师,产品/需求/项目类,数据分析,"大数据,数据挖掘,SPSS",3451345,2017-09-07 14:37:15
深圳,随手科技,深圳市随手科技有限公司,"移动互联网,金融",南山区,以下省略一万字,13k-22k,3-5年,数据分析师，如何巧妙的过七夕,产品/需求/项目类,数据分析,"金融,高级,大数据,BI,业务运营",3506317,2017-09-16 16:00:26
深圳,iPIN.com,深圳爱拼信息科技有限公司,数据服务,南山区,高额期权，世界级创新项目，与牛人并肩,15k-30k,1-3年,数据分析师,技术,高端技术职位,"云计算,大数据,数据挖掘,python",375317,2017-09-14 09:42:28
深圳,招银前海金融,深圳市招银前海金融资产交易中心有限公司,金融,南山区,招商系，较好的薪酬福利和发展空间,15k-30k,不限,大数据分析师,技术,后端开发,,2112889,2017-09-15 09:14:05
深圳,赢家服饰,深圳市赢家服饰有限公司,"生活服务 ,广告营销",福田区,薪资水平高福利待遇好公司平台大发展机会多,10k-20k,3-5年,数据分析师,产品/需求/项目类,数据分析,,3565403,2017-09-16 15:59:40
深圳,乐易网络,深圳市乐易网络有限公司,"移动互联网,游戏",南山区,"海外手游,高配团队,腾讯大牛,大神指导",18k-30k,3-5年,数据分析工程师,开发/测试/运维类,数据开发,"旅游,游戏,广告营销,大数据,Java,python",2951643,2017-09-15 10:31:01
深圳,500.com集团,深圳市易讯天空网络技术有限公司,"移动互联网,电子商务",龙岗区,美国纽交所上市互联网公司,15k-25k,1-3年,数据分析师,技术,后端开发,体育运动,1536831,2017-09-15 09:34:15
深圳,上海提捺信息科技有限公司,上海提捺信息科技有限公司,"社交网络,游戏",福田区,"福利待遇好,出国机会,餐房补贴,带薪年假",15k-25k,3-5年,数据分析经理,产品/需求/项目类,数据分析,"大数据,BI,商业,R",3112080,2017-09-15 18:26:13
深圳,平安产险,中国平安财产保险股份有限公司,"移动互联网,金融",南山区,"公司规模大,发展空间大,五险一金",15k-25k,1-3年,资深数据分析师,开发/测试/运维类,数据开发,"大数据,数据挖掘",3586805,2017-09-15 11:15:52
